trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-154.96486628994242,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-93.16527281446443,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-71.94057470028511,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-69.56611752884311,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-118.73046020126327,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,11,-93.5067454337903,"{0: 6, 1: 3, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,9,-67.25620613273843,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,5,-65.24009955047987,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-69.30406983813764,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,13,-43.26656785134074,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,3,-140.47210830460548,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-69.99866868360341,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,7,-80.53231197085731,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-97.42611274013933,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,13,-35.82191901690227,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,15,-38.83204682583754,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,13,9.298634081730441,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-44.771107959408866,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,2,-27.377296030972982,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-30.368318097530963,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-18.98565573665595,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,3,-19.485493480389508,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,25.8289441037737,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,6,-61.46440638151235,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,0,-79.19202883659496,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,10,24.152547080868924,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-49.434105452530666,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,10,20.687318105425227,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,17,13.897025379978436,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,9,-24.09598799658522,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
