trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",20,0,-120.48870130836616,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.99, 'e': 0.9801}",20,0,-71.05400015575421,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.99, 'e': 0.970299}",25,0,-45.71894980034263,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.99, 'e': 0.96059601}",25,0,-95.56066731673761,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.99, 'e': 0.9509900498999999}",30,14,-30.412658194483843,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.99, 'e': 0.941480149401}",25,0,-55.31654596579456,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.99, 'e': 0.9320653479069899}",30,0,-167.97539857581398,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.99, 'e': 0.9227446944279201}",20,0,-43.728295231341555,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.99, 'e': 0.9135172474836408}",20,10,-44.629875838205415,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.99, 'e': 0.9043820750088044}",20,0,-108.0384148420207,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.99, 'e': 0.8953382542587164}",20,0,-27.775402614777576,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.99, 'e': 0.8863848717161292}",20,0,-38.47912634725306,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.99, 'e': 0.8775210229989678}",20,0,-113.04261459974343,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.99, 'e': 0.8687458127689782}",30,0,-150.5474590298116,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
15,False,"{'a': 0.99, 'e': 0.8600583546412884}",25,2,-71.6468911138781,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.99, 'e': 0.8514577710948755}",20,0,-115.73279722544676,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.99, 'e': 0.8429431933839268}",20,0,-98.15584980865246,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.99, 'e': 0.8345137614500875}",30,0,-167.92477257907973,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.99, 'e': 0.8261686238355866}",20,0,-70.02454272363069,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
